location,1999_opioid_deaths,1999_drug_deaths,1999_change_opioid,1999_change_drug,2000_opioid_deaths,2000_drug_deaths,2000_change_opioid,2000_change_drug,2001_opioid_deaths,2001_drug_deaths,2001_change_opioid,2001_change_drug,2002_opioid_deaths,2002_drug_deaths,2002_change_opioid,2002_change_drug,2003_opioid_deaths,2003_drug_deaths,2003_change_opioid,2003_change_drug,2004_opioid_deaths,2004_drug_deaths,2004_change_opioid,2004_change_drug,2005_opioid_deaths,2005_drug_deaths,2005_change_opioid,2005_change_drug,2006_opioid_deaths,2006_drug_deaths,2006_change_opioid,2006_change_drug,2007_opioid_deaths,2007_drug_deaths,2007_change_opioid,2007_change_drug,2008_opioid_deaths,2008_drug_deaths,2008_change_opioid,2008_change_drug,2009_opioid_deaths,2009_drug_deaths,2009_change_opioid,2009_change_drug,2010_opioid_deaths,2010_drug_deaths,2010_change_opioid,2010_change_drug,2011_opioid_deaths,2011_drug_deaths,2011_change_opioid,2011_change_drug,2012_opioid_deaths,2012_drug_deaths,2012_change_opioid,2012_change_drug,2013_opioid_deaths,2013_drug_deaths,2013_change_opioid,2013_change_drug,2014_opioid_deaths,2014_drug_deaths,2014_change_opioid,2014_change_drug,2015_opioid_deaths,2015_drug_deaths,2015_change_opioid,2015_change_drug,2016_opioid_deaths,2016_drug_deaths,2016_change_opioid,2016_change_drug,2017_opioid_deaths,2017_drug_deaths,2017_change_opioid,2017_change_drug
Maine,2.1,5.3,NSD,NSD,3.2,4.8,0.52,-0.09,4.3,6.5,0.34,0.35,7.3,10.9,0.7,0.68,6.7,10.3,-0.08,-0.06,7.7,11,0.15,0.07,9,12.4,0.17,0.13,7.3,12,-0.19,-0.03,8.1,12.4,0.11,0.03,8.2,12.3,0.01,-0.01,8.7,12.7,0.06,0.03,7.1,10.4,-0.18,-0.18,6.7,11.8,-0.06,0.13,7.9,11.5,0.179,-0.025,9.9,13.2,0.25,0.15,13.7,16.8,0.38,0.27,19.3,21.2,0.409,0.262,25.2,28.7,0.31,0.35,29.9,34.4,0.19,0.2
Maryland,8.8,11.4,NSD,NSD,8.7,11.3,-0.01,-0.01,8.8,11.5,0.01,0.02,9.7,12.9,0.1,0.12,9.9,13.8,0.02,0.07,8.5,11.9,-0.14,-0.14,8.6,11.4,0.01,-0.04,9.7,13.2,0.13,0.16,10.3,13.2,0.06,0,8.7,11.8,-0.16,-0.11,9.9,12.5,0.14,0.06,8.7,11.0,-0.12,-0.12,9.1,11.7,0.05,0.06,10.9,13.7,0.198,0.171,12.3,14.6,0.13,0.07,15.0,17.4,0.22,0.19,17.7,20.9,0.18,0.201,29.7,33.2,0.68,0.59,32.2,36.3,0.08,0.09
Massachusetts,5,7.5,NSD,NSD,4.8,7.1,-0.04,-0.05,7.6,10.5,0.58,0.48,7.4,10.7,-0.03,0.02,9,12.6,0.22,0.18,7.1,10.3,-0.21,-0.18,8.6,12,0.21,0.17,10.1,14.7,0.17,0.23,9.9,14.0,-0.02,-0.05,9.1,11.9,-0.08,-0.15,9.4,12.2,0.03,0.03,8.3,11.0,-0.12,-0.1,9.9,12.7,0.19,0.15,10.4,12.7,0.051,0,13.3,16.0,0.28,0.26,17.0,19.0,0.28,0.19,23.3,25.7,0.371,0.353,29.7,33.0,0.27,0.28,28.2,31.8,-0.05,-0.04
Michigan,1.2,4.6,NSD,NSD,1.8,5.6,0.5,0.22,1.9,6.2,0.06,0.11,2.3,7.5,0.21,0.21,2.5,7.6,0.09,0.01,3.5,8.7,0.4,0.14,4.8,9.8,0.37,0.13,6,11.7,0.25,0.19,5.1,12.2,-0.15,0.04,6.5,12.4,0.27,0.02,7.5,14.5,0.15,0.17,7,13.9,-0.07,-0.04,7.5,14.3,0.07,0.03,7.1,13.5,-0.053,-0.056,9.4,15.9,0.32,0.18,10.9,18.0,0.16,0.13,13.6,20.4,0.248,0.133,18.5,24.4,0.36,0.2,21.2,27.8,0.15,0.14
Minnesota,1.2,2.8,NSD,NSD,1.1,2.6,-0.08,-0.07,1.9,3.7,0.73,0.42,1.9,3.9,0,0.05,2.1,4.8,0.11,0.23,2.6,4.8,0.24,0,2.8,5.4,0.08,0.13,3,5.9,0.07,0.09,3.4,6.4,0.13,0.08,4.3,7.2,0.26,0.13,5.2,7.9,0.21,0.1,4.4,7.3,-0.15,-0.08,5.3,9.4,0.2,0.29,5.3,8.9,0,-0.053,5.6,9.6,0.06,0.08,6.0,9.6,0.07,0.0,6.2,10.6,0.033,0.10400000000000001,7.4,12.5,0.19,0.18,7.8,13.3,0.05,0.06
Mississippi,NR,3.2,NSD,NSD,NR,4.2,NSD,0.31,0.9,6.2,NSD,0.48,0.9,6.6,0,0.06,1.1,7.5,0.22,0.14,1,8.2,-0.09,0.09,1.4,8.8,0.4,0.07,2.3,12.1,0.64,0.38,3.3,11.0,0.43,-0.09,3.7,10.5,0.12,-0.05,3.4,11.2,-0.08,0.07,3.3,11.4,-0.03,0.02,2.9,10.7,-0.12,-0.06,3.9,10.7,0.345,0,3.4,10.8,-0.13,0.01,3.9,11.6,0.15,0.07,5.3,12.3,0.359,0.06,6.2,12.1,0.17,-0.02,6.4,12.2,0.03,0.01
Missouri,1.8,5,NSD,NSD,2.4,5.5,0.33,0.1,2.4,6.3,0,0.15,3.4,7.5,0.42,0.19,4.8,9.3,0.41,0.24,4.9,9.8,0.02,0.05,5.3,10.7,0.08,0.09,7.1,13,0.34,0.21,6.7,12.3,-0.06,-0.05,8.2,13.1,0.22,0.07,9,14.6,0.1,0.11,10.3,17.0,0.14,0.16,10.2,16.4,-0.01,-0.04,9.3,16.2,-0.088,-0.012,10.7,17.5,0.15,0.08,12.0,18.2,0.12,0.04,11.7,17.9,-0.025,-0.016,15.9,23.6,0.36,0.32,16.5,23.4,0.04,-0.01
Montana,NR,4.6,NSD,NSD,NR,4.5,NSD,-0.02,2.3,6.2,NSD,0.38,2.2,8.7,-0.04,0.4,4.7,10.6,1.14,0.22,5,10.9,0.06,0.03,4.7,10.1,-0.06,-0.07,5.2,10.2,0.11,0.01,6.3,12.8,0.21,0.25,7.6,14.1,0.21,0.1,9.4,14.6,0.24,0.04,6.1,12.9,-0.35,-0.12,6.8,14.4,0.11,0.12,5.3,11.9,-0.221,-0.174,7.2,14.5,0.36,0.22,5.4,12.4,-0.25,-0.14,5.0,13.8,-0.07400000000000001,0.113,4.2,11.7,-0.16,-0.15,3.6,11.7,-0.14,0.0
Nebraska,NSD,2.3,NSD,NSD,NR,2.8,NSD,0.22,1.9,3.9,NSD,0.39,1.5,3.9,-0.21,0,NR,3.2,NSD,-0.18,1.6,3.6,NSD,0.13,2.5,5,0.56,0.39,1.9,5.4,-0.24,0.08,2.4,4.8,0.26,-0.11,1.7,5.5,-0.29,0.15,3.7,5.9,1.18,0.07,3.4,6.7,-0.08,0.14,2.8,7.1,-0.18,0.06,3,7.9,0.071,0.113,2.2,6.5,-0.27,-0.18,3.2,7.2,0.45,0.11,3.1,6.9,-0.031,-0.042,2.4,6.4,-0.23,-0.07,3.1,8.1,0.29,0.27
Nevada,7.8,11.5,NSD,NSD,8.8,13.7,0.13,0.19,8.5,12.3,-0.03,-0.1,10,14.8,0.18,0.2,10.8,15.2,0.08,0.03,11.6,16,0.07,0.05,13.1,18.7,0.13,0.17,13.4,18,0.02,-0.04,14.2,18.9,0.06,0.05,14.7,19.2,0.04,0.02,15.9,20.1,0.08,0.05,15.8,20.7,-0.01,0.03,16.5,22.8,0.04,0.1,15.6,21.0,-0.055,-0.079,13.7,21.1,-0.12,0.0,12.7,18.4,-0.07,-0.13,13.8,20.4,0.087,0.109,13.3,21.7,-0.04,0.06,13.3,21.6,0.0,0.0
